actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director
Aamir Khan,yes,2000,Mela,25.00,yes,Dharmesh Darshan
Aamir Khan,yes,2001,Dil Chahta Hai,39.72,yes,Farhan Akhtar
Aamir Khan,yes,2001,Lagaan,65.97,yes,Ashutosh Gowariker
Aamir Khan,yes,2005,Mangal Pandey: The Rising,52.58,yes,Ketan Mehta
Aamir Khan,yes,2006,Fanaa,103.00,yes,Kunal Kohli
Aamir Khan,yes,2006,Rang De Basanti,97.00,yes,Rakeysh Omprakash Mehra
Aamir Khan,yes,2007,Taare Zameen Par,98.48,yes,Aamir Khan
Aamir Khan,yes,2008,Ghajini,232.00,yes,A R Murugadoss
Aamir Khan,yes,2009,3 Idiots,400.61,yes,Rajkumar Hirani
Aarti Chhabria,no,2002,Awara Paagal Deewana,27.58,no,Vikram Bhatt
Abhishek Bachchan,yes,2000,Refugee,35.44,yes,J. P. Dutta
Abhishek Bachchan,yes,2003,LOC: Kargil,31.67,yes,J. P. Dutta
Abhishek Bachchan,yes,2003,Main Prem Ki Diwani Hoon,39.31,yes,Sooraj Barjatya
Abhishek Bachchan,yes,2004,Dhoom,72.47,yes,Sanjay Gadhvi
Abhishek Bachchan,yes,2005,Bunty Aur Babli,90.40,yes,Shaad Ali
Abhishek Bachchan,yes,2005,Dus,38.84,yes,Anubhav Sinha
Abhishek Bachchan,yes,2005,Sarkar,39.30,yes,Ram Gopal Varma
Abhishek Bachchan,yes,2006,Dhoom 2,151.00,yes,Sanjay Gadhvi
Abhishek Bachchan,yes,2006,Kabhi Alvida Naa Kehna,113.00,yes,Karan Johar
Abhishek Bachchan,yes,2007,Guru,83.67,yes,Mani Ratnam
Abhishek Bachchan,yes,2008,Dostana,87.00,yes,Tarun Mansukhani
Abhishek Bachchan,yes,2008,Sarkar Raj,63.00,yes,Ram Gopal Varma
Aditya Pancholi,no,2002,Aankhen,33.80,no,Vipul Amrutlal Shah
Aftab Shivdasani,no,2002,Awara Paagal Deewana,27.58,no,Vikram Bhatt
Aftab Shivdasani,no,2004,Masti,34.14,yes,Indra Kumar
Aftab Shivdasani,no,2009,Kambakkht Ishq,85.56,yes,Sabbir Khan
Aishwarya Rai,no,2000,Hamara Dil Aapke Paas Hai,30.26,no,Satish Kaushik
Aishwarya Rai,no,2000,Josh,35.06,no,Mansoor Khan
Aishwarya Rai,no,2000,Mohabbatein,76.91,no,Aditya Chopra
Aishwarya Rai,no,2002,Devdas,90.00,no,Sanjay Leela Bhansali
Aishwarya Rai,no,2004,Khakee,49.89,yes,Rajkumar Santoshi
