actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director
& Edward Sonnenblick,no,2017,Firangi,,no,Rajiv Dhingra
& Heeba Shah,no,2017,Poorna: Courage Has No Limit,,no,Rahul Bose
& Kavita Verma,no,2017,Laali Ki Shaadi Mein Laaddoo Deewana,0.81,no,Manish Harishankar
& Manish Chaudhary,no,2017,Noor,11.64,yes,Sunhil Sippy
& Mohit Marwah,no,2017,Raag Desh,0.33,no,Tigmanshu Dhulia
(cameo),no,2017,Judwaa 2,227.59,yes,David Dhawan
(special appearance),no,2001,Yeh Raaste Hain Pyaar Ke,15.69,yes,Deepak S. Shivdasani
A. K. Hangal,no,2001,Dattak,,no,Gul Bahar Singh
A. K. Hangal,no,2012,Krishna Aur Kans,,no,Vikram Veturi
A.K. Hangal,no,2005,Mr Prime Minister,,no,Dev Anand
A.K. Hangal,no,2014,Sholay 3D,58.00,no,Ramesh Sippy
Aadar Jain,yes,2017,Qaidi Band,,yes,Habib Faisal
Aadar Jain,yes,2021,Hello Charlie,,yes,Pankaj Saraswat
Aadhvikaa,no,2025,Shaila,,no,Saki Shah
Aadhya Anand,no,2023,Friday Night Plan,,yes,Vatsal Neelakantan
Aadil Abedi,no,2013,Mere Haule Dost,,no,Nitin Raghunath
Aadil Khan,no,2020,Shikara,8.15,no,Vidhu Vinod Chopra
Aadil Khan,no,2024,Kisko Tha Pata,,no,Ratnaa Sinha
Aadya Bedi,no,2014,Fireflies,,no,Sabal Singh Sheikhawat
Aahana Kumra,no,2017,Lipstick Under My Burkha,26.68,no,Alankrita Shrivastava
Aahana Kumra,no,2019,The Accidental Prime Minister,22.65,yes,Vijay Ratnakar Gutte
Aahana Kumra,no,2019,Yours Truly,,no,Sanjoy Nag
Aahana Kumra,no,2020,Khuda Haafiz,,no,Faruk Kabir
Aahana Kumra,no,2021,Bawri Chhori,,no,Kartik Ramalingam
Aahana Kumra,no,2022,India Lockdown,,yes,Madhur Bhandarkar
Aaishvary Thackeray,no,2025,Nishaanchi,1.00,no,Anurag Kashyap
Aaishvary Thackeray,no,2025,Nishaanchi 2,,no,Anurag Kashyap
Aakash Dahiya,no,2011,Chillar Party,,yes,"Vikas Bahl , Nitesh Tiwari"
Aakash Dahiya,no,2011,Rockstar,108.70,yes,Imtiaz Ali
Aakash Dahiya,no,2015,Meeruthiya Gangster,,no,Zeishan Quadri
Aakash Dahiya,no,2020,Operation Parindey,,no,Sanjay Gadhvi
Aakash Sharma,no,2014,Anuradha,,no,Raju Mavani
Aakshath Das,no,2020,Serious Men,,no,Sudhir Mishra
Aaliya Singh,no,2015,Four Pillars of Basement,0.15,no,Giresh Naik K
Aaman Devgan,yes,2025,Azaad,9.17,yes,Abhishek Kapoor
Aamir Ali,no,2002,Yeh Kya Ho Raha Hai?,,no,Hansal Mehta
Aamir Ali,no,2010,I Hate Luv Storys,72.52,yes,Punit Malhotra
Aamir Ali,no,2023,Faraaz,,yes,Hansal Mehta
Aamir Bashir,no,2003,Armaan,14.92,no,Honey Irani
Aamir Bashir,no,2006,Pyaar Ke Side Effects,,no,Saket Chaudhary
Aamir Bashir,no,2009,"Raat Gayi, Baat Gayi?",,no,Saurabh Shukla
Aamir Bashir,no,2012,Future To Bright Hai Ji,,no,Sanjay Amar
Aamir Bashir,no,2017,Gurgaon,6.70,no,Shanker Raman
Aamir Bashir,no,2018,Hope Aur Hum,,no,Sudip Bandyopadhyay
Aamir Bashir,no,2020,Dolly Kitty Aur Woh Chamakte Sitare,,no,Alankrita Shrivastava
Aamir Bashir,no,2023,72 Hoorain,,no,Sanjay Puran Singh Chauhan
Aamir Bashir,no,2023,Rocky Aur Rani Kii Prem Kahaani,355.61,yes,Karan Johar
Aamir Khan,yes,2000,Mela,25.00,yes,Dharmesh Darshan
Aamir Khan,yes,2001,Dil Chahta Hai,39.72,yes,Farhan Akhtar
Aamir Khan,yes,2001,Lagaan: Once Upon a Time in India,65.97,yes,Ashutosh Gowariker
Aamir Khan,yes,2005,Mangal Pandey: The Rising,52.58,yes,Ketan Mehta
Aamir Khan,yes,2006,Fanaa,103.00,yes,Kunal Kohli
Aamir Khan,yes,2006,Rang De Basanti,97.00,yes,Rakeysh Omprakash Mehra
Aamir Khan,yes,2007,Taare Zameen Par,98.48,yes,Aamir Khan
Aamir Khan,yes,2008,Ghajini,232.00,yes,A. R. Murugadoss
Aamir Khan,yes,2009,3 Idiots,400.61,yes,Rajkumar Hirani
Aamir Khan,yes,2009,Luck by Chance,29.00,yes,Zoya Akhtar
Aamir Khan,yes,2011,Delhi Belly,103.00,yes,Abhinay Deo
Aamir Khan,yes,2011,Dhobi Ghat,25.60,yes,Kiran Rao
Aamir Khan,yes,2012,Talaash: The Answer Lies Within,180.83,yes,Reema Kagti
Aamir Khan,yes,2013,Dhoom 3,589.02,yes,Vijay Krishna Acharya
Aamir Khan,yes,2014,PK,769.00,yes,Rajkumar Hirani
Aamir Khan,yes,2016,Dangal,2160.00,yes,Nitesh Tiwari
Aamir Khan,yes,2017,Secret Superstar,977.00,yes,Advait Chandan
Aamir Khan,yes,2018,Thugs of Hindostan,335.00,yes,Vijay Krishna Acharya
Aamir Khan,yes,2022,Laal Singh Chaddha,129.64,yes,Advait Chandan
Aamir Khan,yes,2025,Sitaare Zameen Par,266.49,yes,R. S. Prasanna
Aamir Raza Hussain,no,2014,Khoobsurat,79.43,yes,Shashanka Ghosh
Aamna Sharif,no,2009,Aloo Chaat,,no,Robby Grewal
Aamna Sharif,no,2011,Shakal Pe Mat Ja,,no,Shubh Mukherjee
Aamna Sharif,no,2014,Ek Villain,169.62,no,Mohit Suri
Aamna Shariff,no,2009,Aao Wish Karein,,no,Glenn Baretto
Aanaahad,no,2010,Lahore,,no,Sanjay Puran Singh Chauhan
Aanamika Bawa,no,2013,Pyaar Mein Aisa Hota Hai,,no,Rajesh Kumar
Aanchal Munjal,no,2016,Ghayal: Once Again,45.35,yes,Sunny Deol
Aanchal Munjal,no,2023,Mandali,,no,Rakesh Chaturvedi Om
Aanjjan Srivastav,no,2012,Chhodo Kal Ki Baatein,,no,Pramod Joshi
Aanjjan Srivastav,no,2013,Wake Up India,,no,Babloo Seshadri
Aanjjan Srivastav,no,2019,PM Narendra Modi,,yes,Omung Kumar
Aarav Khanna,no,2011,Chillar Party,,yes,"Vikas Bahl , Nitesh Tiwari"
Aarav Negi,no,2018,Falooda,,no,Dhiraj Singh
Aarohi Saud,no,2024,Tikdam,,no,Vivek Anchalia
Aarti Agarwal,no,2001,Paagalpan,,no,Aruna Irani
Aarti Chabria,no,2002,Tum Se Achcha Kaun Hai,16.00,no,Deepak Anand
Aarti Chabria,no,2007,Partner,101.00,yes,David Dhawan
Aarti Chabria,no,2007,Shootout at Lokhandwala,46.04,yes,Apoorva Lakhia
Aarti Chabria,no,2007,Ta Ra Rum Pum,70.00,yes,Siddharth Anand
Aarti Chabria,no,2008,Anamika,,no,Anant Mahadevan
Aarti Chabria,no,2008,Halla Bol,19.39,yes,Rajkumar Santoshi
Aarti Chabria,no,2009,Daddy Cool,,no,K. Murli Manohar Rao
Aarti Chabria,no,2010,Milenge Milenge,,yes,Satish Kaushik
Aarti Chhabria,no,2003,Raja Bhaiya,2.58,no,Raman Kumar
Aarti Chhabria,no,2005,Shaadi No. 1,20.49,yes,David Dhawan
Aarti Chhabria,no,2009,Kisse Pyaar Karoon,,no,Ajay Chandock
Aarti Puri,no,2004,""" Mysteries Shaque """,,no,"Vinod Chhabara ,"
Aarun Nagar,no,2019,Risknamaa,,no,Aarun Nagar
Aarushi Sharma,no,2022,Jaadugar,,no,Sameer Saxena
Aarya Babbar,no,2011,Aazaan,,no,Prashant Chadha
Aarya Babbar,no,2022,Hai Tujhe Salaam India,,no,Avanish Kumar
Aarya Babbar,no,2023,Do Ajnabee,,no,Sanjeev Kumar Rajput
Aarya Kumar,no,2013,Boyss Toh Boyss Hain,,no,Amit Vats
Aashi Rawal,no,2016,Shortcut Safari,,no,Amitabha Singh
Aashim Gulati,no,2016,Tum Bin II,6.45,no,Anubhav Sinha
Aashim Gulati,no,2023,U-Turn,,no,Arif Khan
Aashim Gulati,no,2024,Kahan Shuru Kahan Khatam,,no,Saurabh Dasgupta
Aashish Chanana,no,2005,Dreams,,no,Ashish Chanana
Aashish Chaudhary,no,2003,Qayamat: City Under Threat,28.52,yes,Harry Baweja
Aashish Chaudhary,no,2004,Girlfriend,,no,Karan Razdan
Aashish Chaudhary,no,2004,Let's Enjoy,,no,"Ankur Tewari , Siddharth Anand Kumar"
Aashish Chaudhary,no,2004,Shaadi Ka Laddoo,,no,Raj Kaushal
Aashish Chaudhary,no,2006,Fight Club: Members Only,8.88,yes,Vikram Chopra
Aashish Chaudhary,no,2007,Dhamaal,50.73,yes,Indra Kumar
Aashish Chaudhary,no,2007,Speed,,yes,Vikram Bhatt
Aashish Chaudhary,no,2009,Daddy Cool,,no,K. Murli Manohar Rao
Aashish Chaudhary,no,2009,Kisse Pyaar Karoon,,no,Ajay Chandock
Aashish Chaudhary,no,2009,Paying Guests,,no,Paritossh Painter
Aashish Chaudhary,no,2009,"Three: Love, Lies, Betrayal",,no,Vishal Pandya
Aashish Chaudhary,no,2011,Double Dhamaal,70.54,yes,Indra Kumar
Aashish Vidyarthi,no,2010,Admissions Open,,no,K.D. Satyam
Aasif Khan,no,2025,The Bhootnii,,yes,Sidhaant Sachdev
Aasif Sheikh,no,2007,Journey Bombay to Goa,,no,Raj Pendurkar
