actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director,imdb_rating,imdb_votes,imdb_matched_title
& Edward Sonnenblick,no,2017,Firangi,,no,Rajiv Dhingra,4.3,1436,Firangi
& Heeba Shah,no,2017,Poorna: Courage Has No Limit,,no,Rahul Bose,,,
& Kavita Verma,no,2017,Laali Ki Shaadi Mein Laaddoo Deewana,0.81,no,Manish Harishankar,3.3,163,Laali Ki Shaadi Mein Laaddoo Deewana
& Manish Chaudhary,no,2017,Noor,11.64,yes,Sunhil Sippy,4.1,1651,Noor
& Mohit Marwah,no,2017,Raag Desh,0.33,no,Tigmanshu Dhulia,8.1,424,Raag Desh
(cameo),no,2017,Judwaa 2,227.59,yes,David Dhawan,3.7,12753,Judwaa 2
(special appearance),no,2001,Yeh Raaste Hain Pyaar Ke,15.69,yes,Deepak S. Shivdasani,4.1,897,Yeh Raaste Hain Pyaar Ke
A. K. Hangal,no,2001,Dattak,,no,Gul Bahar Singh,7.7,69,Dattak
A. K. Hangal,no,2012,Krishna Aur Kans,,no,Vikram Veturi,7.0,388,Krishna Aur Kans
A.K. Hangal,no,2005,Mr Prime Minister,,no,Dev Anand,5.3,69,Mr Prime Minister
A.K. Hangal,no,2014,Sholay 3D,58.00,no,Ramesh Sippy,,,
Aadar Jain,yes,2017,Qaidi Band,,yes,Habib Faisal,6.0,564,Qaidi Band
Aadar Jain,yes,2021,Hello Charlie,,yes,Pankaj Saraswat,5.3,4481,Hello Charlie
Aadhvikaa,no,2025,Shaila,,no,Saki Shah,9.3,555,Shaila
Aadhya Anand,no,2023,Friday Night Plan,,yes,Vatsal Neelakantan,6.6,2134,Friday Night Plan
Aadil Abedi,no,2013,Mere Haule Dost,,no,Nitin Raghunath,7.1,28,Mere Haule Dost
Aadil Khan,no,2020,Shikara,8.15,no,Vidhu Vinod Chopra,3.4,15619,Shikara
Aadil Khan,no,2024,Kisko Tha Pata,,no,Ratnaa Sinha,6.7,64,Kisko Tha Pata
Aadya Bedi,no,2014,Fireflies,,no,Sabal Singh Sheikhawat,6.1,125,Fireflies
Aahana Kumra,no,2017,Lipstick Under My Burkha,26.68,no,Alankrita Shrivastava,6.8,7862,Lipstick Under My Burkha
Aahana Kumra,no,2019,The Accidental Prime Minister,22.65,yes,Vijay Ratnakar Gutte,6.0,8558,The Accidental Prime Minister
Aahana Kumra,no,2019,Yours Truly,,no,Sanjoy Nag,5.8,141,Yours Truly
Aahana Kumra,no,2020,Khuda Haafiz,,no,Faruk Kabir,7.1,22843,Khuda Haafiz
Aahana Kumra,no,2021,Bawri Chhori,,no,Kartik Ramalingam,4.2,135,Bawri Chhori
Aahana Kumra,no,2022,India Lockdown,,yes,Madhur Bhandarkar,7.1,10380,India Lockdown
Aaishvary Thackeray,no,2025,Nishaanchi,1.00,no,Anurag Kashyap,6.7,3102,Nishaanchi
Aaishvary Thackeray,no,2025,Nishaanchi 2,,no,Anurag Kashyap,7.1,1013,Nishaanchi 2
Aakash Dahiya,no,2011,Chillar Party,,yes,"Vikas Bahl , Nitesh Tiwari",7.5,9358,Children's Party
Aakash Dahiya,no,2011,Rockstar,108.70,yes,Imtiaz Ali,7.8,55214,Rockstar
Aakash Dahiya,no,2015,Meeruthiya Gangster,,no,Zeishan Quadri,,,
Aakash Dahiya,no,2020,Operation Parindey,,no,Sanjay Gadhvi,4.7,442,Operation Parindey
Aakash Sharma,no,2014,Anuradha,,no,Raju Mavani,5.8,9,Anuradha
Aakshath Das,no,2020,Serious Men,,no,Sudhir Mishra,6.8,8680,Serious Men
Aaliya Singh,no,2015,Four Pillars of Basement,0.15,no,Giresh Naik K,4.4,28,Four Pillars of Basement
Aaman Devgan,yes,2025,Azaad,9.17,yes,Abhishek Kapoor,4.9,6158,Azaad
Aamir Ali,no,2002,Yeh Kya Ho Raha Hai?,,no,Hansal Mehta,4.7,283,Yeh Kya Ho Raha Hai?
Aamir Ali,no,2010,I Hate Luv Storys,72.52,yes,Punit Malhotra,5.7,9274,I Hate Luv Storys
Aamir Ali,no,2023,Faraaz,,yes,Hansal Mehta,5.0,2079,Faraaz
Aamir Bashir,no,2003,Armaan,14.92,no,Honey Irani,5.3,1277,Armaan
Aamir Bashir,no,2006,Pyaar Ke Side Effects,,no,Saket Chaudhary,6.8,3357,Pyaar Ke Side Effects
Aamir Bashir,no,2009,"Raat Gayi, Baat Gayi?",,no,Saurabh Shukla,6.3,600,"Raat Gayi, Baat Gayi?"
Aamir Bashir,no,2012,Future To Bright Hai Ji,,no,Sanjay Amar,6.1,114,Future to Bright Hai Ji
Aamir Bashir,no,2017,Gurgaon,6.70,no,Shanker Raman,6.4,2628,Gurgaon
Aamir Bashir,no,2018,Hope Aur Hum,,no,Sudip Bandyopadhyay,6.3,473,Hope Aur Hum
Aamir Bashir,no,2020,Dolly Kitty Aur Woh Chamakte Sitare,,no,Alankrita Shrivastava,5.2,8018,Dolly Kitty and Those Twinkling Stars
Aamir Bashir,no,2023,72 Hoorain,,no,Sanjay Puran Singh Chauhan,,,
Aamir Bashir,no,2023,Rocky Aur Rani Kii Prem Kahaani,355.61,yes,Karan Johar,6.5,50970,Rocky Aur Rani Kii Prem Kahaani
Aamir Khan,yes,2000,Mela,25.00,yes,Dharmesh Darshan,3.8,5464,Mela
Aamir Khan,yes,2001,Dil Chahta Hai,39.72,yes,Farhan Akhtar,8.0,79941,Dil Chahta Hai
