actor,nepo,n_films,won_national,won_filmfare
Anupam Kher,False,107,False,True
Akshay Kumar,False,99,False,True
Sanjay Dutt,True,87,False,True
Ajay Devgn,False,84,True,True
Paresh Rawal,False,83,False,True
Jackie Shroff,False,75,False,True
Rajpal Yadav,False,75,False,False
Amitabh Bachchan,False,70,True,True
Om Puri,False,61,True,True
Abhishek Bachchan,True,60,False,True
Salman Khan,True,59,False,True
Kareena Kapoor,True,58,False,True
John Abraham,False,57,False,True
Boman Irani,False,57,False,False
Shah Rukh Khan,False,53,True,True
Irrfan Khan,False,51,False,True
Arshad Warsi,False,50,False,True
Gulshan Grover,False,50,False,False
Naseeruddin Shah,False,49,False,True
Sunil Shetty,False,48,False,False
Divya Dutta,False,47,False,True
Saif Ali Khan,True,46,False,True
Nawazuddin Siddiqui,False,46,False,True
Emraan Hashmi,True,46,False,True
Priyanka Chopra,False,45,False,True
Anil Kapoor,False,45,False,True
Arjun Rampal,False,45,False,True
Tabu,False,45,False,True
Jimmy Sheirgill,False,45,False,False
Riteish Deshmukh,False,45,False,True
Kay Kay Menon,False,45,False,False
Bipasha Basu,False,43,False,True
Ranvir Shorey,False,43,False,True
Vinay Pathak,False,43,False,True
Johnny Lever,False,43,False,False
Vijay Raaz,False,42,False,False
Sunny Deol,True,41,False,True
Rishi Kapoor,True,41,False,True
Aftab Shivdasani,False,41,False,False
Katrina Kaif,False,40,False,True
Sanjay Mishra,False,40,False,True
Govinda,False,40,False,True
Bobby Deol,True,39,False,True
Arbaaz Khan,True,38,False,True
Neha Dhupia,False,38,False,True
Shreyas Talpade,False,38,False,True
Kangana Ranaut,False,36,False,True
Rajkummar Rao,False,35,False,True
Shahid Kapoor,True,35,False,True
Juhi Chawla,False,34,False,True
Manisha Koirala,False,34,False,True
Mithun Chakraborty,False,34,False,True
Pankaj Tripathi,False,34,False,True
Rani Mukerji,True,33,False,True
Akshaye Khanna,True,33,False,True
Randeep Hooda,False,32,False,True
Tusshar Kapoor,True,32,False,True
Vivek Oberoi,True,32,False,True
Vidya Balan,False,31,False,True
Nana Patekar,False,31,False,True
Raveena Tandon,False,31,False,True
Sharman Joshi,False,31,False,True
Ashutosh Rana,False,31,False,False
Deepika Padukone,False,31,False,True
Hrithik Roshan,True,31,False,True
Sanjay Suri,False,30,False,False
Manoj Bajpayee,False,30,False,True
Lara Dutta,False,29,False,False
Sonakshi Sinha,True,28,False,True
Fardeen Khan,True,28,False,True
Sharat Saxena,False,28,False,False
Mahima Chaudhry,False,28,False,True
Aishwarya Rai,False,28,False,True
Manoj Pahwa,False,27,False,True
Isha Koppikar,False,26,False,True
Rajat Kapoor,False,26,False,True
Rajesh Sharma,False,26,False,False
Preity Zinta,False,26,False,True
Dino Morea,False,26,False,False
Konkona Sen Sharma,False,26,False,True
Rahul Dev,False,26,False,False
Suniel Shetty,False,25,False,True
Saurabh Shukla,False,25,False,False
Mahesh Manjrekar,False,25,False,False
Atul Kulkarni,False,24,False,True
Taapsee Pannu,False,24,False,True
Ravi Kishan,False,24,False,False
Manoj Bajpai,False,24,False,True
Esha Deol,True,24,False,False
Amrita Rao,False,23,False,True
Rati Agnihotri,False,23,False,True
Zakir Hussain,False,23,False,False
Jacqueline Fernandez,False,23,False,False
Dia Mirza,False,23,False,True
Shakti Kapoor,False,23,False,False
Ranbir Kapoor,True,23,False,True
Sushmita Sen,False,22,False,True
Manoj Joshi,False,22,False,False
Brijendra Kala,False,22,False,False
Abhay Deol,True,21,False,True
Rahul Bose,False,21,False,False
Raima Sen,False,21,False,False
Yami Gautam,False,21,False,True
Neena Gupta,False,21,False,True
Mukesh Tiwari,False,21,False,False
Sonali Kulkarni,False,21,False,True
Shilpa Shetty,False,21,False,True
Chunky Pandey,False,20,False,True
Sachin Khedekar,False,20,False,False
Sanjay Kapoor,True,20,False,False
Javed Jaffrey,False,20,False,False
Yashpal Sharma,False,20,False,False
Mallika Sherawat,False,20,False,False
Aamir Khan,True,20,False,True
Annu Kapoor,False,20,False,False
Shraddha Kapoor,False,20,False,True
Soha Ali Khan,True,20,False,True
Radhika Apte,False,20,False,False
Bhumi Pednekar,False,20,False,True
Vikrant Massey,False,20,False,True
Satish Kaushik,False,20,False,False
Purab Kohli,False,19,False,False
R. Madhavan,False,19,False,True
Sonam Kapoor,True,19,False,True
Ayesha Takia,False,19,False,False
Ayushmann Khurrana,False,19,False,True
Sonu Sood,False,19,False,True
Kajol,True,19,False,True
Raghubir Yadav,False,19,False,False
Kriti Sanon,False,19,True,True
Neil Nitin Mukesh,False,19,False,True
Sohail Khan,True,19,False,False
Parineeti Chopra,False,19,False,True
Varun Dhawan,True,19,False,True
Urmila Matondkar,False,19,False,True
Ranveer Singh,False,19,False,True
Arjun Kapoor,True,19,False,False
Anushka Sharma,False,19,False,True
Kumud Mishra,False,18,False,True
Mohnish Bahl,True,18,False,True
Kalki Koechlin,False,18,False,True
Murali Sharma,False,18,False,False
Huma Qureshi,False,18,False,True
Alia Bhatt,True,18,False,True
Priyanshu Chatterjee,False,18,False,False
Asrani,False,18,False,True
Prateik Babbar,True,18,False,True
Jimmy Shergill,False,17,False,True
Dalip Tahil,False,17,False,False
Ronit Roy,False,17,False,True
Deepak Dobriyal,False,17,False,True
Parvin Dabas,False,17,False,False
Kunal Khemu,False,17,False,False
Zayed Khan,True,17,False,True
Dharmendra,False,17,False,True
Dimple Kapadia,False,17,False,True
Amisha Patel,False,17,False,False
Vicky Kaushal,True,17,True,True
Amrish Puri,False,17,False,True
Ram Kapoor,False,17,False,False
Kartik Aaryan,False,16,False,True
Shabana Azmi,False,16,False,True
Lillete Dubey,False,16,False,False
Supriya Pathak,False,16,False,True
Akshay Oberoi,False,16,False,False
Kunal Kapoor,False,16,False,True
Ali Fazal,False,16,False,False
Sanya Malhotra,False,16,False,True
Seema Biswas,False,16,False,True
Sidharth Malhotra,False,16,False,True
Preeti Jhangiani,False,16,False,True
Mahie Gill,False,16,False,False
Vir Das,False,16,False,True
Prem Chopra,False,15,False,True
Sharib Hashmi,False,15,False,False
Pulkit Samrat,False,15,False,False
Amrita Arora,False,15,False,False
Danny Denzongpa,False,15,False,True
Milind Soman,False,15,False,False
Rimi Sen,False,15,False,True
Kiara Advani,False,15,False,True
Adil Hussain,False,15,False,False
Satish Shah,False,15,False,False
Raj Babbar,False,15,False,True
Karisma Kapoor,True,15,False,True
Ashish Vidyarthi,False,15,False,False
Amit Sadh,False,15,False,False
Rakul Preet Singh,False,15,False,False
Shefali Shah,False,14,False,True
Kirron Kher,False,14,False,True
Riya Sen,False,14,False,False
Darshan Jariwala,False,14,False,False
Aditya Roy Kapur,True,14,False,True
Madhuri Dixit,False,14,False,True
Aditi Rao Hydari,False,14,False,False
Tannishtha Chatterjee,False,14,False,False
Farhan Akhtar,False,14,False,True
Arjun Mathur,False,14,False,False
Hrishita Bhatt,False,14,False,False
Minissha Lamba,False,14,False,False
Sameera Reddy,False,14,False,False
Manav Kaul,False,14,False,True
Vishal Malhotra,False,14,False,False
Gajraj Rao,False,14,False,True
Sharad Kelkar,False,13,False,False
Tiger Shroff,True,13,False,False
Gul Panag,False,13,False,False
Murli Sharma,False,13,False,False
Rekha,True,13,False,True
Prakash Raj,False,13,False,False
