year,title,studio,gross
2000,Kaho Naa... Pyaar Hai,,₹80.01 crore
2000,Mohabbatein,,₹76.91 crore
2000,Mission Kashmir,,₹43.30 crore
2000,Dulhan Hum Le Jayenge,,₹36.87 crore
2000,Refugee,,₹35.44 crore
2000,Josh,,₹35.06 crore
2000,Har Dil Jo Pyar Karega,,₹32.45 crore
2000,Fiza,,₹32.20 crore
2000,Hamara Dil Aapke Paas Hai,,₹30.26 crore
2000,Mela,,₹25 crore
2001,Kabhi Khushi Kabhie Gham,Dharma Productions,₹ 135.53 crore (US$28.72 million)
2001,Gadar: Ek Prem Katha,Zee Studios,₹ 133.13 crore (US$28.21 million)
2001,Lagaan,Aamir Khan Productions,₹ 65.97 crore (US$13.98 million)
2001,Indian,Sunny Super Sound,₹ 42.61 crore (US$9.03 million)
2001,Dil Chahta Hai,Excel Entertainment,₹ 39.72 crore (US$8.42 million)
2001,Chori Chori Chupke Chupke,Eros International,₹ 37.51 crore (US$7.95 million)
2001,Ek Rishtaa: The Bond of Love,Shree Krishna International,₹ 36.50 crore (US$7.74 million)
2001,Yaadein,Mukta Arts,₹ 34.59 crore (US$7.33 million)
2001,Lajja,Rajkumar Santoshi Productions,₹ 34.29 crore (US$7.27 million)
2001,Jodi No.1,Time Magnetics,₹ 34.13 crore (US$7.23 million)
2002,Devdas,,₹ 90 crore
2002,Raaz,,₹ 37.2 crore
2002,Kaante,,₹ 36.37 crore
2002,Hum Tumhare Hain Sanam,,₹ 34.76 crore
2002,Aankhen,,₹ 33.80 crore
2002,Mujhse Dosti Karoge!,,₹ 33.61 crore
2002,Humraaz,,₹ 29.71 crore
2002,Saathiya,,₹ 29.15 crore
2002,Awara Paagal Deewana,,₹ 27.58 crore
2002,Company,,₹ 25.02 crore
2003,Kal Ho Naa Ho,Dharma Productions,₹ 86.09 crore (US$18.48 million)
2003,Koi... Mil Gaya,Filmkraft Productions Pvt. Ltd,₹ 82.32 crore (US$17.67 million)
2003,The Hero: Love Story of a Spy,Time Magnetics (India) Pvt. Ltd,₹ 45.13 crore (US$9.69 million)
2003,Chalte Chalte,Dreamz Unlimited UTV Motion Pictures,₹ 43.29 crore (US$9.29 million)
2003,Baghban,B. R. Films,₹ 43.11 crore (US$9.25 million)
2003,Munna Bhai M.B.B.S.,Vinod Chopra Productions Entertainment One,₹ 36.29 crore (US$7.79 million)
2003,Main Prem Ki Diwani Hoon,Rajshri Productions,₹ 39.31 crore (US$8.44 million)
2003,LOC: Kargil,J. P. Films,₹ 31.67 crore (US$6.8 million)
2003,Andaaz,Shree Krishna International,₹ 28.81 crore (US$6.18 million)
2003,Qayamat: City Under Threat,Bawaja Movies,₹ 28.52 crore (US$6.12 million)
2004,Veer-Zaara,Yash Raj Films,₹ 97.64 crore (US$21.55 million)
2004,Main Hoon Na,Red Chillies Entertainment Eros International,₹ 84 crore (US$18.54 million)
2004,Dhoom,Yash Raj Films,₹ 72.47 crore (US$15.99 million)
2004,Mujhse Shaadi Karogi,Nadiadwala Grandson Entertainment,₹ 62 crore (US$13.68 million)
2004,Khakee,DMS Films Private Limited,₹ 49.89 crore (US$11.01 million)
2004,Hum Tum,Yash Raj Films,₹ 43.22 crore (US$9.54 million)
2004,Swades,Ashutosh Gowariker Productions,₹ 40.2 crore (US$8.87 million)
2004,Masti,Maruti Films,₹ 34.14 crore (US$7.53 million)
2004,Hulchul,Venus Records & Tapes,₹ 33.09 crore (US$7.3 million)
2004,Aitraaz,Mukta Arts,₹ 29 crore (US$6.4 million)
2005,No Entry,SK Film Entertainment Sahara One Motion Pictures,"₹ 95,13,50,000 (equivalent to ₹ 3.2 billion or US$34 million in 2023)"
2005,Bunty Aur Babli,Yash Raj Films,"₹ 90,40,05,000 (equivalent to ₹ 3.1 billion or US$32 million in 2023)"
