year,title,director,cast,gross_raw,gross_cr,nepo_kid,nepo_kids_in_cast
2000,Aaghaaz,Yogesh Ishwar,Sunil Shetty; Sushmita Sen; Namrata Shirodkar,,,no,
2000,Aaj Ka Ravan,Imran Khalid,Kasam Ali; Mithun Chakraborty,₹1.02 crore,1.02,no,
2000,Anjaane,Ravi Rai,Raveena Tandon; Vivek Mushran,,,no,
2000,Anokha Moti,Anshul Singla,Sanjay Sharma; Arjun Chakraborty; Nayab Aftab,,,no,
2000,Apradhi Kaun,Mohan Bhakri,Ishrat Ali; Shagufta Ali,,,no,
2000,Astitva,Mahesh Manjrekar,Tabu; Sachin Khedekar; Smita Jaykar; Mohnish Bahl,₹ 2.16 crores,2.16,yes,Mohnish Bahl
2000,Baaghi,Rajesh Kumar Singh,Sanjay Dutt; Manisha Koirala; Aditya Pancholi; Mahesh Anand; Inder Kumar,₹ 6.47 crore,6.47,yes,Sanjay Dutt
2000,Badal,Raj Kanwar,Bobby Deol; Rani Mukerji; Johnny Lever,₹26.91 crore,26.91,yes,Bobby Deol; Rani Mukerji
2000,Bas Yaari Rakho,Gopi Desai,Pooja Batra; Seema Biswas,,,no,
2000,Bawandar,Jag Mundhra,Nandita Das; Rahul Khanna,,,no,
2000,Beti No.1,T. Rama Rao,Govinda; Rambha,,,no,
2000,Bhai Thakur,"Willy , Raja",Dharmendra; Shakti Kapoor; Upasna Singh,,,no,
2000,Bichhoo,Guddu Dhanoa,Bobby Deol; Rani Mukerji; Malaika Arora,₹ 19.75 crore,19.75,yes,Bobby Deol; Rani Mukerji
2000,Billa No. 786,Imran Khalid,Mithun Chakraborty,,,no,
2000,Bulandi,T. Rama Rao,Rajinikanth; Rekha; Anil Kapoor; Raveena Tandon,,,yes,Rekha
2000,Chal Mere Bhai,David Dhawan,Sanjay Dutt; Salman Khan; Karisma Kapoor; Twinkle Khanna; Sonali Bendre; Shakti Kapoor; Dalip Tahil,₹ 22.28 crore,22.28,yes,Sanjay Dutt; Salman Khan; Karisma Kapoor; Twinkle Khanna
2000,Champion,Padam Kumar,Sunny Deol; Manisha Koirala,₹ 16 crore (India Net),16.00,yes,Sunny Deol
2000,Deewane,Harry Baweja,Ajay Devgn; Urmila Matondkar; Mahima Chaudhry,₹ 122.5 million,12.25,no,
2000,Dhai Akshar Prem Ke,Raj Kanwar,Abhishek Bachchan; Aishwarya Rai; Salman Khan; Amrish Puri; Sonali Bendre; Dalip Tahil,₹ 16.30 crore,16.30,yes,Abhishek Bachchan; Salman Khan
2000,Dhadkan,Dharmesh Darshan,Akshay Kumar; Sunil Shetty; Shilpa Shetty,₹26.47 crore,26.47,no,
2000,Dil Ki Dhadkan,,Rambha,,,no,
2000,Dil Pe Mat Le Yaar,Hansal Mehta,Manoj Bajpai; Tabu; Gajraj Rao; Vijay Raaz; Aditya Srivastava; Kashmera Shah,,,no,
2000,Dr. Babasaheb Ambedkar,Jabbar Patel,Mammootty; Sonali Kulkarni,,,no,
2000,Dr Mukta,,Amar Babaria; Jaya Bachchan; Abhay Chandarana,,,no,
2000,Dulhan Hum Le Jayenge,David Dhawan,Salman Khan; Karisma Kapoor; Johnny Lever; Deepak Tijori; Kader Khan,₹36.87 crore,36.87,yes,Salman Khan; Karisma Kapoor
2000,Fiza,Khalid Mohammed,Jaya Bachchan; Karisma Kapoor; Hrithik Roshan; Neha,₹32.20 crore,32.20,yes,Karisma Kapoor; Hrithik Roshan
2000,Gaja Gamini,M. F. Hussain,Madhuri Dixit; Shabana Azmi; Shilpa Shirodkar; Naseeruddin Shah; Shah Rukh Khan,,,no,
2000,Gang,Mazhar Khan,Juhi Chawla; Nana Patekar; Jackie Shroff,,,no,
2000,Ghaath,Akashdeep,Tabu; Manoj Bajpai; Arshad Warsi,,,no,
2000,Hadh Kar Di Aapne,Manoj Agrawal,Govinda; Rani Mukerji,₹ 20 crore,20.00,yes,Rani Mukerji
2000,Hamara Dil Aapke Paas Hai,Satish Kaushik,Anil Kapoor; Aishwarya Rai; Sonali Bendre,₹30.26 crore,30.26,no,
2000,Har Dil Jo Pyar Karega,Raj Kanwar,Salman Khan; Preity Zinta; Rani Mukerji; Shah Rukh Khan,₹32.45 crore,32.45,yes,Salman Khan; Rani Mukerji
2000,Hari-Bhari,Shyam Benegal,Shabana Azmi; Rajit Kapur; Rajeshwari Sachdev; Surekha Sikri; Nandita Das,,,no,
