year,title,gross,director,cast,url
2000,Kaho Naa... Pyaar Hai,₹80.01 crore,Rakesh Roshan,Hrithik Roshan; Ameesha Patel; Anupam Kher; Dalip Tahil; Mohnish Bahl,https://en.wikipedia.org/wiki/Kaho_Naa..._Pyaar_Hai
2000,Mohabbatein,₹76.91 crore,Aditya Chopra,Amitabh Bachchan; Shah Rukh Khan; Aishwarya Rai,https://en.wikipedia.org/wiki/Mohabbatein
2000,Mission Kashmir,₹43.30 crore,Vidhu Vinod Chopra,Sanjay Dutt; Hrithik Roshan; Preity Zinta; Sonali Kulkarni; Jackie Shroff,https://en.wikipedia.org/wiki/Mission_Kashmir
2000,Dulhan Hum Le Jayenge,₹36.87 crore,David Dhawan,Salman Khan; Karisma Kapoor,https://en.wikipedia.org/wiki/Dulhan_Hum_Le_Jayenge
2000,Refugee,₹35.44 crore,J. P. Dutta,Abhishek Bachchan; Kareena Kapoor; Jackie Shroff; Suniel Shetty,https://en.wikipedia.org/wiki/Refugee_(2000_film)
2000,Josh,₹35.06 crore,Mansoor Khan,Shah Rukh Khan; Chandrachur Singh; Aishwarya Rai; Sharad Kapoor; Priya Gill,https://en.wikipedia.org/wiki/Josh_(2000_film)
2000,Har Dil Jo Pyar Karega,₹32.45 crore,Raj Kanwar,Salman Khan; Preity Zinta; Rani Mukerji; Paresh Rawal,https://en.wikipedia.org/wiki/Har_Dil_Jo_Pyar_Karega
2000,Fiza,₹32.20 crore,Khalid Mohammed,Karishma Kapoor; Hrithik Roshan; Jaya Bachchan,https://en.wikipedia.org/wiki/Fiza
2000,Hamara Dil Aapke Paas Hai,₹30.26 crore,Satish Kaushik,Anil Kapoor; Aishwarya Rai; Sonali Bendre,https://en.wikipedia.org/wiki/Hamara_Dil_Aapke_Paas_Hai
2000,Mela,₹25 crore,Dharmesh Darshan,Aamir Khan; Twinkle Khanna; Faisal Khan; Johnny Lever; Tinu Verma; Asrani,https://en.wikipedia.org/wiki/Mela_(2000_film)
2001,Kabhi Khushi Kabhie Gham,₹ 135.53 crore (US$28.72 million),Karan Johar,Amitabh Bachchan; Jaya Bachchan; Shah Rukh Khan; Kajol; Hrithik Roshan; Kareena Kapoor,https://en.wikipedia.org/wiki/Kabhi_Khushi_Kabhie_Gham
2001,Gadar: Ek Prem Katha,₹ 133.13 crore (US$28.21 million),Anil Sharma,Sunny Deol; Ameesha Patel; Amrish Puri; Vivek Shauq; Lillete Dubey; Utkarsh Sharma,https://en.wikipedia.org/wiki/Gadar:_Ek_Prem_Katha
2001,Lagaan,₹ 65.97 crore (US$13.98 million),Ashutosh Gowariker,Aamir Khan; Gracy Singh; Rachel Shelley; Paul Blackthorne,https://en.wikipedia.org/wiki/Lagaan
