actor,nepo,n_films,rating_slope,log_votes_slope,rating_first,rating_last,votes_first,votes_last
Aahana Kumra,no,6,-0.0742857142857143,-0.07391182771508586,6.8,7.1,7862,10380
Aamir Bashir,no,8,0.008333333333333378,0.1683993817267638,5.3,6.5,1277,50970
Aamir Khan,yes,20,-0.028270676691729314,0.013273371032611374,3.8,6.9,5464,33822
Aarti Chabria,no,7,-0.18214285714285725,-0.03430709747175816,4.9,4.1,323,2137
Aashish Chaudhary,no,12,-0.019580419580419558,0.00028783139964823085,4.8,4.1,2742,5374
Abhay Deol,yes,21,-0.10961038961038962,-0.021271222138708412,7.4,5.7,8307,4830
Abhimanyu Singh,no,10,0.06545454545454547,-0.08925047497503028,7.6,5.7,5160,49
Abhishek Bachchan,yes,57,0.026840808918848845,0.016076873520303406,5.2,7.6,2240,10175
Abhishek Banerjee,no,13,-0.07417582417582416,0.04064407563760554,6.8,5.8,1803,2456
Adah Sharma,no,10,0.16242424242424247,0.0748792966663007,6.5,6.5,4765,880
Adhyayan Suman,no,7,0.042857142857142864,-0.08631665162786374,3.5,4.3,300,753
Adil Hussain,no,14,0.016483516483516467,-0.0625316467754763,5.3,7.3,8471,71
Aditi Rao Hydari,no,14,-0.07450549450549449,-0.008579797399473253,7.8,4.0,55214,15328
Aditya Pancholi,no,6,-0.7085714285714286,-0.11029196478076685,7.4,3.6,14805,3083
Aditya Roy Kapur,yes,13,-0.10824175824175827,0.00840315414411973,5.4,6.6,5216,23097
Aditya Seal,no,9,0.18166666666666664,0.07170839934876046,3.1,6.5,654,28454
Aditya Srivastava,no,6,0.46571428571428586,0.31455160714508296,5.2,5.9,262,4737
Aftab Shivdasani,no,37,-0.03219535324798482,0.0056737957261440404,6.1,5.0,1374,6239
Ahsaas Channa,no,5,-0.23999999999999994,-0.0028620952452789172,5.0,5.0,799,657
Aishwarya Rai,no,20,0.07902255639097747,0.017238044091606456,5.5,7.4,2223,5878
Aishwarya Rai Bachchan,no,7,-0.35714285714285715,-0.1554169411482376,7.5,4.5,36598,2494
Ajay Devgn,no,79,-0.0007838364167478098,0.015432965469744557,4.7,4.0,714,38527
Akhilendra Mishra,no,10,0.21333333333333335,0.01382455856523486,4.2,6.2,269,3926
Akshay Kumar,no,92,0.00322965954101999,0.009859186824818964,6.5,6.8,8960,13944
Akshay Oberoi,no,14,0.010769230769230765,-0.0008834972835400873,5.5,6.7,474,64
Akshaye Khanna,yes,29,0.023448275862068966,0.01864104009841939,8.0,8.3,79941,140800
Alaya F,no,5,-0.09999999999999991,0.07410142269350498,7.3,7.4,36668,14634
Ali Asgar,no,7,0.02142857142857148,-0.06583460628689076,5.1,3.7,1455,12753
Ali Fazal,no,16,0.008235294117647037,-0.010095070516085242,8.4,6.6,482868,23097
Ali Zafar,no,6,-0.44000000000000006,-0.10510720700977423,7.2,5.0,11129,3196
Alia Bhatt,yes,17,-0.03161764705882353,0.021695944978895567,5.3,6.0,22272,25019
Alka Amin,no,5,0.27999999999999997,-0.2594030622768676,5.5,7.8,401,26
Alok Nath,no,8,0.41785714285714287,-0.060669392996534566,5.8,7.4,16,27
Aman Verma,no,12,-0.018181818181818146,-0.14779909646591638,5.3,6.7,2994,1539
Ameesha Patel,no,11,0.044545454545454534,-0.14252850814483312,4.6,5.1,857,19
Amisha Patel,no,17,-0.030147058823529426,-0.018527991602299818,6.9,6.1,18644,3180
Amit Sadh,no,15,-0.02607142857142854,-0.005303361588513532,7.8,7.4,40039,3567
Amit Sial,no,7,0.44285714285714295,0.047873862806246156,3.9,7.7,324,516
Amitabh Bachchan,no,66,0.006398079532407893,0.008350837692149027,7.1,2.6,37377,10774
Amol Parashar,no,6,-0.09142857142857146,0.13599427714313986,6.8,5.6,94,361
Amole Gupte,no,5,-0.020000000000000018,-0.08026260251123363,7.4,6.4,19022,2806
Amrish Puri,no,15,-0.05214285714285712,0.060610039789146024,7.3,4.6,16716,1536
Amrita Arora,no,13,-0.01868131868131866,0.013197120119193913,6.3,4.4,10089,107
Amrita Puri,no,5,0.15000000000000008,0.07986246580371215,5.1,5.3,4636,4962
Amrita Rao,no,21,-0.0009090909090908822,0.0033533190285628504,3.5,6.4,269,40907
Amrita Singh,no,6,-0.24000000000000002,0.22109920616283274,5.4,3.2,894,6322
Amruta Subhash,no,5,-0.36,0.7238143359046638,7.5,5.7,136,52106
Amyra Dastur,no,8,0.22738095238095232,0.07300782633418439,4.4,7.1,529,7299
Anand Tiwari,no,5,0.15000000000000008,0.0360004977434321,5.1,4.7,4636,1443
Ananya Panday,yes,8,0.24523809523809526,0.019761375361965546,5.8,4.0,9254,28122
Angad Bedi,no,6,-0.10571428571428566,0.12203328616866002,5.8,5.7,4437,52106
Anil Kapoor,no,42,-0.006433838424762988,0.042472002046424345,5.3,5.9,919,36965
Anjali Patil,no,5,-0.05999999999999987,-0.3958964973756077,6.3,6.4,343,19
Anjana Sukhani,no,9,-0.1483333333333333,0.2003196688791908,6.2,5.7,118,10192
Annu Kapoor,no,19,0.04421052631578948,0.0027003105708167485,4.2,6.7,1723,587
Anshuman Jha,no,5,0.29,0.3709199831459133,5.2,6.2,66,2518
Antara Mali,no,8,-0.34523809523809523,-0.32192332279237107,7.9,6.2,17241,9
Anuj Sawhney,no,5,-0.05999999999999996,-0.0477434034338442,5.6,5.8,488,325
Anup Soni,no,6,-0.08285714285714281,0.015626459011253566,5.3,5.9,217,43
