year,movie,imdb_rating,imdb_votes,imdb_matched_title
2000,Aaghaaz,4.7,384,Aaghaaz
2000,Aaj Ka Ravan,4.3,50,Aaj Ka Ravan
2000,Anjaane,4.8,12,Anjaane
2000,Anokha Moti,7.8,20,Anokha Moti
2000,Apradhi Kaun,5.2,11,Apradhi Kaun
2000,Astitva,7.3,876,Astitva
2000,Baaghi,,,
2000,Badal,5.1,1715,Badal
2000,Bas Yaari Rakho,6.4,34,My Little Devil
2000,Bawandar,7.0,349,Sandstorm
2000,Beti No.1,3.9,361,Beti No. 1
2000,Bhai Thakur,4.4,13,Bhai Thakur
2000,Bichhoo,5.0,3391,Bichhoo
2000,Billa No. 786,4.2,51,Billa No. 786
2000,Bulandi,5.3,919,Bulandi
2000,Chal Mere Bhai,4.8,3925,Chal Mere Bhai
2000,Champion,4.6,754,Champion
2000,Deewane,4.7,714,Deewane
2000,Dhadkan,6.5,8960,Dhadkan
2000,Dhai Akshar Prem Ke,,,
2000,Dil Ki Dhadkan,,,
2000,Dil Pe Mat Le Yaar,5.2,262,Dil Pe Mat Le Yaar!!
2000,Dr Mukta,,,
2000,Dr. Babasaheb Ambedkar,8.8,3021,Dr. Babasaheb Ambedkar
2000,Dulhan Hum Le Jayenge,5.2,4228,Dulhan Hum Le Jayenge
2000,Fiza,6.0,4761,Fiza
2000,Gaja Gamini,4.5,844,Gaja Gamini
2000,Gang,6.3,301,Gang
2000,Ghaath,4.9,178,Ghaath
2000,Hadh Kar Di Aapne,5.3,2337,Hadh Kar Di Aapne
2000,Hamara Dil Aapke Paas Hai,5.5,2223,Hamara Dil Aapke Paas Hai
2000,Har Dil Jo Pyar Karega,5.2,5326,Har Dil Jo Pyar Karega...
2000,Hari-Bhari,6.9,131,Hari-Bhari
2000,Hera Pheri,8.2,80796,Hera Pheri
2000,Hey Ram,8.0,15186,Hey Ram
2000,Hum To Mohabbat Karega,3.1,520,Hum to Mohabbat Karega
2000,Jallad No. 1,4.7,44,Jallad No. 1
2000,Jis Desh Mein Ganga Rehta Hain,4.9,1531,Jis Desh Mein Ganga Rehta Hain
2000,Joru Ka Ghulam,5.1,1455,Joru Ka Ghulam
2000,Josh,6.1,11815,Josh
2000,Jung,4.2,510,Jung
2000,Jungle,6.1,1364,Jungle
2000,Kahin Pyaar Na Ho Jaaye,4.5,2823,Kahin Pyaar Na Ho Jaaye
2000,Kaho Naa... Pyaar Hai,6.9,18644,Kaho Naa... Pyaar Hai
2000,Kairee,,,
2000,Karobaar: The Business of Love,3.7,330,Karobaar
2000,Kharidaar,,,
2000,Khauff,4.5,469,Khauff
2000,Khiladi 420,,,
2000,Krodh,4.6,341,Krodh
2000,Kunwara,5.2,1221,Kunwara
2000,Kurukshetra,6.1,1253,Kurukshetra
2000,Kya Kehna,5.8,2457,Kya Kehna
2000,Le Chal Apne Sang,5.8,16,Le Chal Apne Sang
2000,Lekroo,8.1,17,The Child
2000,Mela,3.8,5464,Mela
2000,Meri Jung Ka Elaan,6.2,38,Meri Jung Ka Elaan
2000,Mission Kashmir,6.6,8072,Mission Kashmir
2000,Mohabbatein,7.1,37377,Mohabbatein
2000,Nidaan,6.6,25,Nidaan
2000,Papa the Great,5.5,93,Papa the Great
2000,Phir Bhi Dil Hai Hindustani,6.2,9461,Phir Bhi Dil Hai Hindustani
2000,Pukar,6.7,2818,Pukar
2000,Raja Ko Rani Se Pyar Ho Gaya,3.4,120,Raja Ko Rani Se Pyar Ho Gaya
2000,Raju Chacha,5.1,2415,Raju Chacha
2000,Refugee,5.2,2240,Refugee
2000,Saanjh,,,
2000,Shikaar,3.8,45,Shikaar
2000,Shikari,4.7,589,Shikari
2000,Snip!,5.6,135,Snip!
2000,Sultaan,5.8,83,Sultaan
2000,Tapish,6.4,31,Tapish
2000,Tarkieb,5.1,324,Tarkieb
2000,Tera Jadoo Chal Gayaa,3.2,672,Tera Jadoo Chal Gayaa
2000,The Revenge: Geeta Mera Naam,3.6,25,The Revenge: Geeta Mera Naam
2000,Tune Mera Dil Le Liyaa,3.6,24,Tune Mera Dil Le Liyaa
2000,Zindagi Zindabad,8.3,12,Zindagi Zindabad
2001,Aamdani Atthanni Kharcha Rupaiya,5.0,2049,Aamdani Atthanni Kharcha Rupaiya
2001,Aashiq,4.1,591,Aashiq
2001,Abhay,,,
2001,Ajnabee,6.4,9766,Ajnabee
2001,Aks,5.8,1917,Aks
2001,Albela,3.7,940,Albela
2001,Aśoka,,,
2001,Bas Itna Sa Khwaab Hai,3.8,698,Bas Itna Sa Khwaab Hai...
2001,Be-Lagaam,3.4,26,Be-Lagaam
2001,Bengal Tiger,5.5,47,Bengal Tiger
2001,Bhairav,5.4,44,Bhairav
2001,Chandni Bar,7.6,2943,Chandni Bar
2001,Chhupa Rustam: A Musical Thriller,4.5,149,Chhupa Rustam: A Musical Thriller
2001,Chori Chori Chupke Chupke,5.5,5918,Chori Chori Chupke Chupke
2001,Daman,,,
2001,Dattak,7.7,69,Dattak
2001,Deewaanapan,4.7,538,Deewaanapan
2001,Dil Chahta Hai,8.0,79941,Dil Chahta Hai
2001,Dil Ne Phir Yaad Kiya,3.5,150,Dil Ne Phir Yaad Kiya
2001,Ehsaas: The Feeling,5.4,136,Ehsaas: The Feeling
2001,Ek Rishtaa: The Bond of Love,5.2,1978,Bond of Love
2001,Farz,4.4,589,Farz
2001,Gadar: Ek Prem Katha,7.3,16716,Gadar: Ek Prem Katha
2001,Grahan,5.3,139,Grahan
2001,Hadh: Life on the Edge of Death,4.2,28,Hadh: Life on the Edge of Death
2001,Hum Ho Gaye Aapke,4.4,509,Hum Ho Gaye Aap Ke
2001,Indian,5.5,2931,Indian
2001,Ittefaq,3.7,122,Ittefaq
2001,Jodi No.1,5.8,2957,Jodi No.1
2001,Kabhi Khushi Kabhie Gham,7.5,63049,Kabhi Khushi Kabhie Gham...
2001,Kasam,2.9,159,Kasam
2001,Kasoor,6.1,1374,Kasoor
2001,Kuch Khatti Kuch Meethi,4.7,776,Kuch Khatti Kuch Meethi
2001,Kyo Kii Main Jhuth Nahin Bolta,5.5,2971,Kyo Kii... Main Jhuth Nahin Bolta
2001,Lagaan: Once Upon a Time in India,8.1,129443,Lagaan: Once Upon a Time in India
2001,Lajja,6.6,3108,Lajja
2001,Love Ke Liye Kuchh Bhi Karega,,,
2001,Love You Hamesha,,,
2001,Maya,7.1,311,Maya
2001,Moksha,,,
2001,Monsoon Wedding,7.3,27377,Monsoon Wedding
2001,Mujhe Kucch Kehna Hai,4.7,1434,Mujhe Kucch Kehna Hai
2001,Mujhe Meri Biwi Se Bachaao,3.4,117,Mujhe Meri Biwi Se Bachaao
2001,Nayak,8.2,43,Nayak
2001,Officer,4.3,176,Officer
2001,One 2 Ka 4,5.5,6205,One 2 Ka 4
2001,Paagalpan,6.6,64,Paagalpan
2001,Pyaar Ishq Aur Mohabbat,4.3,757,Pyaar Ishq Aur Mohabbat
2001,Pyaar Tune Kya Kiya,5.7,1031,Pyaar Tune Kya Kiya...
2001,Pyaar Zindagi Hai,6.5,68,Pyaar Zindagi Hai
2001,Rahul,5.4,309,Rahul
