year,movie,nepo,gross_cr,rating,votes,log10_votes,log10_gross
2017,Laali Ki Shaadi Mein Laaddoo Deewana,no,0.81,3.3,163,2.215,0.258
2017,Noor,yes,11.64,4.1,1651,3.218,1.102
2017,Raag Desh,no,0.33,8.1,424,2.628,0.124
2017,Judwaa 2,yes,227.59,3.7,12753,4.106,2.359
2001,Yeh Raaste Hain Pyaar Ke,yes,15.69,4.1,897,2.953,1.222
2020,Shikara,no,8.15,3.4,15619,4.194,0.961
2017,Lipstick Under My Burkha,no,26.68,6.8,7862,3.896,1.442
2019,The Accidental Prime Minister,yes,22.65,6.0,8558,3.932,1.374
2025,Nishaanchi,no,1.0,6.7,3102,3.492,0.301
2011,Rockstar,yes,108.7,7.8,55214,4.742,2.04
2015,Four Pillars of Basement,no,0.15,4.4,28,1.462,0.061
2025,Azaad,yes,9.17,4.9,6158,3.79,1.007
2010,I Hate Luv Storys,yes,72.52,5.7,9274,3.967,1.866
2003,Armaan,no,14.92,5.3,1277,3.107,1.202
2017,Gurgaon,no,6.7,6.4,2628,3.42,0.886
2023,Rocky Aur Rani Kii Prem Kahaani,yes,355.61,6.5,50970,4.707,2.552
2000,Mela,yes,25.0,3.8,5464,3.738,1.415
2001,Dil Chahta Hai,yes,39.72,8.0,79941,4.903,1.61
2001,Lagaan: Once Upon a Time in India,yes,65.97,8.1,129443,5.112,1.826
2005,Mangal Pandey: The Rising,yes,52.58,6.5,11084,4.045,1.729
2006,Fanaa,yes,103.0,7.1,37077,4.569,2.017
2006,Rang De Basanti,yes,97.0,8.1,126668,5.103,1.991
2007,Taare Zameen Par,yes,98.48,8.3,232627,5.367,1.998
2008,Ghajini,yes,232.0,7.4,72226,4.859,2.367
2009,3 Idiots,yes,400.61,8.4,482868,5.684,2.604
2009,Luck by Chance,yes,29.0,7.1,11849,4.074,1.477
2011,Delhi Belly,yes,103.0,7.6,34924,4.543,2.017
2011,Dhobi Ghat,yes,25.6,7.0,14335,4.156,1.425
2012,Talaash: The Answer Lies Within,yes,180.83,7.3,48704,4.688,2.26
2013,Dhoom 3,yes,589.02,5.4,53514,4.728,2.771
2014,PK,yes,769.0,8.1,223099,5.348,2.886
2016,Dangal,yes,2160.0,8.3,243597,5.387,3.335
2017,Secret Superstar,yes,977.0,7.7,32300,4.509,2.99
2018,Thugs of Hindostan,yes,335.0,4.1,23056,4.363,2.526
2022,Laal Singh Chaddha,yes,129.64,5.6,181256,5.258,2.116
2025,Sitaare Zameen Par,yes,266.49,6.9,33822,4.529,2.427
2014,Khoobsurat,yes,79.43,6.4,9625,3.983,1.905
2014,Ek Villain,no,169.62,6.6,25309,4.403,2.232
2016,Ghayal: Once Again,yes,45.35,6.2,5587,3.747,1.666
2002,Tum Se Achcha Kaun Hai,no,16.0,4.9,323,2.511,1.23
2007,Partner,yes,101.0,5.9,15038,4.177,2.009
