year,title,gross
2000,How the Grinch Stole Christmas,"$251,628,905"
2000,Mission: Impossible II,"$215,409,889"
2000,Gladiator,"$186,610,052"
2000,The Perfect Storm,"$182,618,434"
2000,Meet the Parents,"$161,146,255"
2000,X-Men,"$157,299,718"
2000,Scary Movie,"$157,019,771"
2000,What Lies Beneath,"$155,359,812"
2000,Dinosaur,"$137,748,063"
2000,Erin Brockovich,"$125,595,205"
2000,Nutty Professor II: The Klumps,"$123,305,415"
2000,Charlie's Angels,"$122,693,797"
2000,Big Momma's House,"$117,559,438"
2000,Remember the Titans,"$113,546,621"
2000,The Patriot,"$113,330,342"
2000,What Women Want,"$110,187,917"
2000,Chicken Run,"$106,834,564"
2000,Gone in 60 Seconds,"$101,648,571"
2000,Cast Away,"$100,628,725"
2000,"Me, Myself & Irene","$90,570,999"
2000,Space Cowboys,"$90,107,204"
2000,Scream 3,"$89,143,175"
2000,Unbreakable,"$88,304,876"
2000,U-571,"$77,122,415"
2000,Hollow Man,"$73,209,340"
2000,Stuart Little,"$72,701,240"
2000,Shaft,"$70,334,258"
2000,The Green Mile,"$69,839,360"
2000,The Kid,"$69,691,949"
2000,Rugrats in Paris,"$68,941,692"
2000,Road Trip,"$68,540,777"
2000,Bring It On,"$68,337,590"
2000,Rules of Engagement,"$61,335,230"
2000,The Cell,"$61,334,059"
2000,Mission to Mars,"$60,883,407"
2000,Coyote Ugly,"$60,786,269"
2000,Snow Day,"$60,020,107"
2000,Fantasia 2000,"$59,809,390"
2000,American Beauty,"$59,267,786"
2000,Next Friday,"$57,328,603"
2000,The Whole Nine Yards,"$57,262,492"
2000,Shanghai Noon,"$56,937,502"
2000,Romeo Must Die,"$55,973,336"
2000,102 Dalmatians,"$55,552,178"
2000,The Cider House Rules,"$54,535,422"
2000,Final Destination,"$53,331,147"
2000,The Talented Mr. Ripley,"$51,726,616"
2000,Galaxy Quest,"$51,665,118"
2000,The Road to El Dorado,"$50,863,742"
2000,The Hurricane,"$50,336,689"
2000,Vertical Limit,"$49,834,850"
2000,Men of Honor,"$47,357,207"
2000,Toy Story 2,"$46,009,125"
2000,The Tigger Movie,"$45,554,533"
2000,Frequency,"$45,010,278"
2000,The Replacements,"$44,737,059"
2000,Pokémon the Movie 2000,"$43,758,684"
2000,Miss Congeniality,"$41,784,460"
2000,Any Given Sunday,"$39,882,713"
2000,The Beach,"$39,785,027"
2000,The Exorcist2000 Director's Cut,"$39,671,011"
2000,Pitch Black,"$39,240,659"
2000,The Emperor's New Groove,"$38,960,149"
2000,The Family Man,"$38,817,090"
2000,Little Nicky,"$38,801,062"
2000,The Original Kings of Comedy,"$38,182,790"
2000,Autumn in New York,"$37,761,915"
2000,Bedazzled,"$37,472,420"
2000,28 Days,"$37,170,488"
2000,Keeping the Faith,"$37,047,880"
2000,Bounce,"$36,637,217"
2000,Hanging Up,"$36,050,230"
2000,The Flintstones in Viva Rock Vegas,"$35,268,275"
2000,The Skulls,"$35,046,120"
2000,Mysteries of Egypt,"$34,271,224"
2000,The 6th Day,"$34,259,361"
2000,My Dog Skip,"$34,134,641"
2000,Where the Heart Is,"$33,772,838"
2000,"Dude, Where's My Car?","$33,113,843"
2000,Pay It Forward,"$32,960,771"
